,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2012-12-24,0.41,-0.24,-0.21,-0.02,-0.13,0.17,0.001,-0.0016807561740774801,0.0008457810774333829,-0.003132180622115399,-0.007660402509932052,-0.0018312160090410146,-0.0039870250753542,-0.0029041293827418713,0.005121936460976251,-0.0027671884747428876,-0.0042572382020877875
2012-12-26,-0.42,-0.54,-0.13,0.31,-0.14,0.18,0.001,-0.0016807561740774801,-0.010409085246274152,-0.008594115123948143,-0.004484513007763979,0.0,-0.003501648401407653,-0.0034433414229759762,0.006165345882692463,-0.005557611097065429,-0.008569076535111186
2012-12-27,0.29,-0.11,-0.03,-0.13,0.16,-0.04,0.001,-0.0016807561740774801,0.001280117811277126,0.0017250833700606094,-0.0018274061167664613,-0.003672075934481267,-0.0015045340546788744,-0.001593261654056377,-0.0034799848396511734,-0.0010453338953295699,-0.0017227589048949277
2012-12-28,0.35,-1.0,0.46,0.03,-0.09,0.11,0.001,-0.0016807561740774801,-0.008136793956718513,-0.01068290705694519,-0.017601600042073784,-0.008002171145430559,-0.009834804675329156,-0.010955105104843543,-0.012684091801447472,-0.01122053955956126,-0.010108252540403928
2012-12-31,0.23,1.71,0.37,-0.12,0.12,-0.25,0.001,-0.0016807561740774801,0.01979836019053627,0.012978003743304711,0.022513864247275972,0.01289543027143436,0.010587354655481995,0.018104439843359632,0.01936576068824225,0.01713037313930421,0.013550807555399391
2013-01-02,0.19,2.62,0.12,0.38,-0.64,0.01,0.0,-0.0016807561740774801,0.02065400169556364,0.025460745386998163,0.021881739922934518,0.028865244166338844,0.019615508609116095,0.023726629794071474,0.02473186458037091,0.03273388831224189,0.018161544026628285
2013-01-03,-0.43,-0.14,0.14,0.04,0.18,0.27,0.0,-0.0016807561740774801,0.0024746237589234887,-0.0025172816052965175,-0.0002734772821275655,-0.001186070607851697,0.001228518657992339,0.000515258232509197,-0.007303174429001302,-0.006394218701975873,0.0
2013-01-04,-0.37,0.55,0.18,0.36,-0.36,0.24,0.0,-0.0016807561740774801,0.0037003567472591037,0.0027965968278391706,0.01103749252032804,0.01179924143002653,0.004411538405600712,0.007440958273516873,0.012228472369321786,-0.0040597415834287,0.005049015202375884
2013-01-07,0.19,-0.31,-0.12,-0.35,-0.1,-0.14,0.0,-0.0016807561740774801,-0.0024653824687748127,-0.006724393352101732,-0.007754788710916394,-0.0023484625212213395,0.003172961810811614,-0.004355153878872642,-0.002071162869724308,-0.0013568421810221665,-0.009841240859379763
2013-01-08,0.84,-0.27,0.04,0.0,-0.16,0.1,0.0,-0.0016807561740774801,-0.0028836218950254455,-0.00281571082666332,-0.0032827038094116467,-0.0029437851406926008,0.0002435110315026634,-0.007732163605076003,0.0015539301579332587,-0.0037405512621142556,-0.0031130690609209033
2013-01-09,0.08,0.34,0.23,-0.4,-0.04,-0.18,0.0,-0.0016807561740774801,0.0016486476165411545,0.0022530862248220096,-0.0016458827444170154,-0.001180030858671799,0.010905824806586306,0.010040178006477163,0.006446879324324417,0.0017023238403024443,-0.0019865652930683986
2013-01-10,-0.21,0.66,-0.59,0.49,-0.19,0.06,0.0,-0.0016807561740774801,0.005750925598101642,0.005889805584900376,0.009017307045311895,0.012320608392061505,0.006964825782718176,0.004855017958224739,0.004361010357466277,0.005088972285093529,0.004251843049243753
